[2026-01-06 23:41:07,902] 20 root - INFO - Initiate the data ingestion
[2026-01-06 23:41:12,672] 73 root - INFO - Performed train test split
[2026-01-06 23:41:12,921] 90 root - INFO - Train and test files saved
[2026-01-06 23:41:12,922] 22 root - INFO - Data Ingestion completed
[2026-01-06 23:41:12,953] 27 root - INFO - Initiate the data validation
[2026-01-06 23:41:13,110] 35 root - INFO - Required number of columns:2
[2026-01-06 23:41:13,111] 36 root - INFO - data frame has columns:31
[2026-01-06 23:41:13,787] 29 root - INFO - Data Validation completed
[2026-01-06 23:41:13,791] 32 root - INFO - Data Transformation started
[2026-01-06 23:41:13,792] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-06 23:41:13,792] 54 root - INFO - Starting data transformation
[2026-01-06 23:41:13,925] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-06 23:41:13,925] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-06 23:41:13,983] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-06 23:41:13,989] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-06 23:41:13,994] 36 root - INFO - Data transformation completed
[2026-01-06 23:41:13,995] 38 root - INFO - Model Training stared
