[2026-01-07 17:04:51,335] 20 root - INFO - Initiate the data ingestion
[2026-01-07 17:04:56,569] 73 root - INFO - Performed train test split
[2026-01-07 17:04:56,910] 90 root - INFO - Train and test files saved
[2026-01-07 17:04:56,912] 22 root - INFO - Data Ingestion completed
[2026-01-07 17:04:56,958] 27 root - INFO - Initiate the data validation
[2026-01-07 17:04:57,202] 35 root - INFO - Required number of columns:2
[2026-01-07 17:04:57,202] 36 root - INFO - data frame has columns:31
[2026-01-07 17:04:58,208] 29 root - INFO - Data Validation completed
[2026-01-07 17:04:58,215] 32 root - INFO - Data Transformation started
[2026-01-07 17:04:58,216] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-07 17:04:58,216] 54 root - INFO - Starting data transformation
[2026-01-07 17:04:58,323] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-07 17:04:58,323] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-07 17:04:58,376] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:04:58,383] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:04:58,383] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:04:58,389] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:04:58,402] 36 root - INFO - Data transformation completed
[2026-01-07 17:04:58,402] 38 root - INFO - Model Training stared
