[2026-01-06 20:18:40,409] 16 root - INFO - Initiate the data ingestion
[2026-01-06 20:18:44,341] 73 root - INFO - Performed train test split
[2026-01-06 20:18:44,602] 90 root - INFO - Train and test files saved
[2026-01-06 20:18:44,603] 18 root - INFO - Data Ingestion completed
[2026-01-06 20:18:44,630] 23 root - INFO - Initiate the data validation
[2026-01-06 20:18:44,892] 35 root - INFO - Required number of columns:2
[2026-01-06 20:18:44,892] 36 root - INFO - data frame has columns:31
[2026-01-06 20:18:45,914] 25 root - INFO - Data Validation completed
[2026-01-06 20:18:45,916] 28 root - INFO - Data Transformation started
[2026-01-06 20:18:46,180] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-06 20:18:46,181] 54 root - INFO - Starting data transformation
[2026-01-06 20:18:46,237] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-06 20:18:46,237] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-06 20:18:46,308] 43 root - INFO - Entered the save_object method of MainUtils class
[2026-01-06 20:18:46,314] 47 root - INFO - Exited the save_object method of MainUtils class
[2026-01-06 20:18:46,319] 32 root - INFO - Data transformation completed
