[2026-01-06 23:38:48,516] 20 root - INFO - Initiate the data ingestion
[2026-01-06 23:38:52,601] 73 root - INFO - Performed train test split
[2026-01-06 23:38:52,830] 90 root - INFO - Train and test files saved
[2026-01-06 23:38:52,831] 22 root - INFO - Data Ingestion completed
[2026-01-06 23:38:52,863] 27 root - INFO - Initiate the data validation
[2026-01-06 23:38:53,031] 35 root - INFO - Required number of columns:2
[2026-01-06 23:38:53,031] 36 root - INFO - data frame has columns:31
[2026-01-06 23:38:53,682] 29 root - INFO - Data Validation completed
[2026-01-06 23:38:53,685] 32 root - INFO - Data Transformation started
[2026-01-06 23:38:53,687] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-06 23:38:53,687] 54 root - INFO - Starting data transformation
[2026-01-06 23:38:53,776] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-06 23:38:53,777] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-06 23:38:53,819] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-01-06 23:38:53,826] 50 root - INFO - Exited the save_object method of MainUtils class
[2026-01-06 23:38:53,830] 36 root - INFO - Data transformation completed
[2026-01-06 23:38:53,830] 38 root - INFO - Model Training stared
