[2026-01-06 20:17:15,826] 16 root - INFO - Initiate the data ingestion
[2026-01-06 20:17:20,308] 73 root - INFO - Performed train test split
[2026-01-06 20:17:20,525] 90 root - INFO - Train and test files saved
[2026-01-06 20:17:20,527] 18 root - INFO - Data Ingestion completed
[2026-01-06 20:17:20,564] 23 root - INFO - Initiate the data validation
[2026-01-06 20:17:20,683] 35 root - INFO - Required number of columns:2
[2026-01-06 20:17:20,683] 36 root - INFO - data frame has columns:31
[2026-01-06 20:17:21,435] 25 root - INFO - Data Validation completed
[2026-01-06 20:17:21,439] 28 root - INFO - Data Transformation started
[2026-01-06 20:17:21,440] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-06 20:17:21,440] 54 root - INFO - Starting data transformation
[2026-01-06 20:17:21,527] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-06 20:17:21,528] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-06 20:17:21,599] 43 root - INFO - Entered the save_object method of MainUtils class
[2026-01-06 20:17:21,607] 47 root - INFO - Exited the save_object method of MainUtils class
[2026-01-06 20:17:21,618] 32 root - INFO - Data transformation completed
