[2026-01-07 17:03:25,892] 20 root - INFO - Initiate the data ingestion
[2026-01-07 17:03:30,424] 73 root - INFO - Performed train test split
[2026-01-07 17:03:30,701] 90 root - INFO - Train and test files saved
[2026-01-07 17:03:30,705] 22 root - INFO - Data Ingestion completed
[2026-01-07 17:03:30,771] 27 root - INFO - Initiate the data validation
[2026-01-07 17:03:30,992] 35 root - INFO - Required number of columns:2
[2026-01-07 17:03:30,993] 36 root - INFO - data frame has columns:31
[2026-01-07 17:03:32,446] 29 root - INFO - Data Validation completed
[2026-01-07 17:03:32,487] 32 root - INFO - Data Transformation started
[2026-01-07 17:03:32,487] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-07 17:03:32,488] 54 root - INFO - Starting data transformation
[2026-01-07 17:03:32,588] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-07 17:03:32,589] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-07 17:03:32,856] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:03:32,878] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:03:32,878] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:03:32,885] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:03:32,901] 36 root - INFO - Data transformation completed
[2026-01-07 17:03:32,901] 38 root - INFO - Model Training stared
