[2026-01-07 17:10:27,705] 20 root - INFO - Initiate the data ingestion
[2026-01-07 17:10:31,955] 73 root - INFO - Performed train test split
[2026-01-07 17:10:32,195] 90 root - INFO - Train and test files saved
[2026-01-07 17:10:32,197] 22 root - INFO - Data Ingestion completed
[2026-01-07 17:10:32,234] 27 root - INFO - Initiate the data validation
[2026-01-07 17:10:32,442] 35 root - INFO - Required number of columns:2
[2026-01-07 17:10:32,443] 36 root - INFO - data frame has columns:31
[2026-01-07 17:10:33,036] 29 root - INFO - Data Validation completed
[2026-01-07 17:10:33,068] 32 root - INFO - Data Transformation started
[2026-01-07 17:10:33,068] 52 root - INFO - Entered initiate-data_transformation method of DataTransformation class
[2026-01-07 17:10:33,069] 54 root - INFO - Starting data transformation
[2026-01-07 17:10:33,184] 38 root - INFO - Entered get_data_transformer_object method of Transformation class
[2026-01-07 17:10:33,185] 43 root - INFO - Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-01-07 17:10:33,239] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:10:33,246] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:10:33,246] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:10:33,252] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:10:33,294] 36 root - INFO - Data transformation completed
[2026-01-07 17:10:33,294] 38 root - INFO - Model Training stared
[2026-01-07 17:11:30,550] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:11:30,625] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:11:30,625] 47 root - INFO - Entered the save_object method of MainUtils class
[2026-01-07 17:11:30,633] 51 root - INFO - Exited the save_object method of MainUtils class
[2026-01-07 17:11:30,633] 141 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='final_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913731858317264, precision_score=0.9896656534954408, recall_score=0.9930866205774705), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9723002810116419, precision_score=0.9672523961661342, recall_score=0.9774011299435028))
[2026-01-07 17:11:30,638] 43 root - INFO - Model Training artifact created
